Label,Banglish
joy,"assalamu olaikum,, onarso kompilit kore bekar achi,,,keu jodi ekta job er bjobosha kore diten cir kritojno thaktam😢😢😢"
joy,ar je kibriya bhai  apni ki shahin er sathe jogajog kore diben? amar khub upkari hobe . ami o shahin er moto onlaine kaj jani kintu tar moto amar o somosjay jorjrit.
joy,unar songge jogajog korar jon‍j unar mobile nambarta dile onek chelepele kothabarta bole tar songge somonboy kore kaj korte parto bivinno poramorsho nite parot
joy,"osadharon hoyeche, shahin sotti kothai boleche, boishomjo amader skul thekei shikkha deoya hoy. ebong shuv kamna chot bhai  shahin. tomar facebook ba iutiub ai,di dao jukto hobo."
joy,dhoirjo ar porishrom manushke onek upre uthte sahajjo kore priy vaiyer jonjo doya o shuvkamna ril ❤️ ❤️
joy,mashaallah moborok doya kamna rohilo Allah tayala jen apnake aro beshi beshi taka poysa ay korar toufik dan korun amin
joy,ki bhabe kaj korte hobe ektu jante cai. ami onek ta jani kintu aro kichu jante cai.
joy,kibriya bhai  ami shahin vaiyer sathe jogajog koray den ami friljonsa korte cai kintu sothikvabe gaid lain pacchi na. doya kore amake ektu jogajog korar den.amar upokar hobe.ami khub somosjayi achi. ami kaj korte cai kaj korte cai.
joy,"mash Allah odhik onuprerna mulok vidio,,,inshaallah ekdin ami o sofol hobo amar poribarer jonjo kichu ekta korbo 🤲 shobai doya korben amar jonjo 🤲"
joy,"golpta ami pura somoy dhore vidiota dekhlam khub valo laglo .allah tar onek unnti hok tar madhjme aro manusher unnti hok doya kori. shahin , apnake onek dhonjbad apnar golpta share korar jonjo."
joy,kibriya bhai  jara bujhena tara apnake kharap bujhe.friljansar vaider ke ami onek valbasi o onek pocondo kori.
joy,"jonab shahin saheber sathe jogajoger jonjo phone nambar cai unar kach theke kaj shikkhar jonjo, dhonjbad"
joy,"atoyari theke lijendo ber hocche.kenna atoyari thekei doyal condro dada o lijendari ekti kjarektar.shuvkamna sobar jonjo.atoyari aro prtivay alo chorak o amader mayer moto  deshti egiye jak etai protjasha,,,,,,❤"
joy,amio thakurgao er!.. ar shune valo laglo kibriya sir thakurgao e chilen!.. shahin er jonjo onek doya rilo ❤❤
joy,ami purota dekhlam. ektu o skip korini. kono vasha nai. alhamdulillah mashaallah allahu akbar. prcur porishrmi chele. mashaallah
joy,"taka gulo krishite investmento korteche,eta khubi buddhimaner kaj,poncogrer abhaoya komlalebu, malta, ti gardenter jonjo khubi upjukto."
joy,osadharon golpo. ceshta o iccha thakle evabei sofol howa jay. shahiner jonjo onek doya ril. dhonjbad .
joy,cjaneltar nam bolle valo hoto. vidio gulo apnar jemon kaje legeche bakidero kaje lagto .
joy,pura vidiota dekhe mugbo holam sotti khub shtrogol kore nijeke prtishto koreche dhonjbad ar je kibriya bhai  soh sahin vaikeo.
joy,assalamu alaikum kibriya bhai  amar ekta rikoyesto chil dhaka bishbbidjalyer farmesi bivager prakton din coudhuri Mahmud hasan ke gesto hisabe amontron janan tahole mahmudul hasan sohag vaiyer moto  imopjakto porbe
joy,uni jei cjanel dekhe data entri shikhchil oi cjaneler namta bolle amar moto  jader korso korar khomta nai tara oi cjaneler vidio dekhe shikhte partam.
joy,bhai  apnake ar apnar cjanel ke 100000000000000000000 like dilam 100000000000000000000000000000 dite parle monta khub valo lagto
joy,bhai  apnar jonjo doya ril. apni jate aro val bhabe jibon japon korte paren. ami notun kore shuru korte cacchi kintu apnar moto  ekjon val manuyer sohaytar pryeajon karon saporto na pele hotashata bere jay. kibiriya sjaror shesh montobbo onujayi apnar helpo otjonto pryojon.
joy,"vaiya amar e vaiyar sathe ektu kontak kore deya jabe ,ar kon kontakto imel ojadres deya jabe"
joy,shahin baba tumi jodi amar ei komenta dekhe thako tobe ami tomar sathe ektu jogajog korte cai
joy,amader poncogrer gorbo shahin bhai  doya o shuvkamna ril vai. apnar sathe jogajog korte cai kivabe kemne ektu janaben??
joy,dulavai er obodan onek beshi. bon o vaginatake agle rekho sarajibon. doya o shuvkamna ril.
joy,kibriya bhai  apnar ei pojitiviti choriye deoyar karjokrom caliye jaoyar onurodh ril. ami brjanding bangladesher ekjon niymit dorshok. doa korben amio jen ekdin sofol hote pari.
joy,prishrom sofoltar cabi.etai sotjo kotha. sofol hoyar jonjo hotash na hoye dirghdin kaj korte hobe.
joy,"kolkata theke, osadharon ebong osadharon! kon kotha hobe na... chelemeyera shahiner moto porishrom kore sot pothe uparjon kore baba ma soh poribarer hal‌ dhorun... shuveccha o ovinondon rilo..."
joy,dada assalamu alaikum ami frilensing er kaj shikhte cai apni shahin bhai  er sathe dekha korar bjabostha kore din
joy,jara ei dhoroner vidio dekhe nijeke poriborton korte parbe na tara baki jibne kichui korte parbe na. amra cai ami samne aro ei dhoroner vidio uphar diben ei suv kamna kori.
joy,apu ekta mosjid kore den tahole apnar sbamir atta khushi thakbe…ei rokom valo manush prithibite nei…doya kori Allah unake jannat dan korun amin❤❤😢
joy,"tumi khub sohoj sorol mishti meye, tumar moto  bon ba stri hole jibon sukhi hoy. shuvratri."
joy,"somporko bahjik , valbasa moner , jar mritju hoy na . etai tatbik dorshon ."
joy,"apu apnar golpo shune onek valo lagche,ar apnake salute jani je eto ghotna r pore apni bujhte parchen tar jonj"
joy,ki golpo shunlam ami Allah akbar. upre uthar jonjo kauke siri hisebe bjabhar kora ucit na. valobasa manush ke mohot hote sahajjo kore.
joy,"dui bochor ager golpo aj shunlam dekhlam, khub valo laglo, ami ar kon din amar soh dhormnir sathe rag korib na, amaro dujon dujonke vishon valo basi, dhonjbad bhai  valo thakben shobai"
joy,amader er theke onek kichu shikhar ache!! apu unar bhul bujhte pere share korar jonjo dhonjbad ❤
joy,"mugdho hoye shunlam. ekodom thik kotha bolechen, rag jhogora kotha bole mitiye nite hoy. prokito valobasa ke somman janai.❤"
joy,ami ekjon calok kuyet theke dekhchi dhonjbad janai arjekibriya bhai  ke sotjo kotha bole jatik dhonjbad janai
joy,shundor lagle golpo ami bangla desher mohilader cinta korlam golpo sune jemon kaj ke bangladesher mohila purush ghina kore ar emirikar lekera jibon shundor hobe ki bhabe cinta kore amar lojja lage evabe kotha sune golpo ti khub shundor jodi koshto kore keu sune jibon gore nite pare ei apuke cirkal rini hisebe thakbe inshallah amin
joy,assalamu alaikum bhai  kibriya ami varter birvumer lavpur thanar ramghati gram theke dekhchi ami apnar cjaneler program gulo dekhi kintu amar jibner khubi inoprten golpo ache sheta ami apnar cjnele prcar korte cay kintu kemon kore korbo janaben
joy,lokti shudhui val chil na onek valo chil meyeti joyo din bece thakbe ei valbasa take tara korbe
joy,"ami onurodh korob,oi taka diye onjkaro ongosh grohon na niye ekok bhabe mosjid toiri kore dite tahole tar jonjo boro dhoroner uphar hobe."
joy,bhai  emon golpo amar jibne ami prothom shunlam amio aj 26 bochor erokom golpo amra shunini mone hoy abar shunte iccha korche eta bohut bohut
joy,"ei meyetake amar mone hoy keui negetiv, komento korbena. ar cheletar pori oboshji somvantro poribar eta sobaike sbikar kortei hobe."
joy,apu apnar jonjo doya kori apnar moner iccha Allah puron korbe doya kori Allah apnake valo rakhuk ebong oii manushtar jonjo sobosomoy
joy,kibriya bhai  ei aputir jibner golpta shune na amar mukher vasha hariye felechi ki bolbo asle sotti bolte ki janen rag oviman ebong sokol dhoroner joto kharap cintadhara o kaj ache sob kharap gului nofso o jin shoytaner oyach oyacha thekei hoye thake allahor rasul sallallahu alaihi oyasallam biday hojber vashne bolechen bole gechen tomra jodi duita jinis ke valo bhabe akore dhore shei onujayi nijeder jibon ke poricalna korte paro tahole tomader duniyateo shanti hashreo mukti nosib hoye jabe shei duita jinis hocche ( 1) Allah paker moha pobitro kor anum majid (2) hocche nobiji sallallahu alaihi oyasallamer ahle bait orthat hojorot ma fatema hojorot ali ra: hojorot hasan hojorot hosain eder adorsho i hocche nobijir adorsho bhai  ei aputir sathe ki jogajog korar kono sujog ache ki thakle doya kore janaben upkrit hob eta amar phone nambar imu mjsenjar hoyatsojap facebook ache ei nambare. 01930797063
joy,assalamu alaikum vaijan!! ei golpta hrodoydidarok chilo. khub valo legeche. apur hasbendo aj jodi bece thakten ami khub khushi hotam. apur hasbendo pata poriskar korte giye mara gechen eta amar kache mormantik legeche. ek ek jon manusher jibne ek ek ta golpo. ei golpo diye ekta muvi toiri korle ebong manushe dekhle onek kichu shikhte parbe.
joy,amar khub valo lagche 🥺🥺🥺🥺🥺🥺🥺 manush ta asle khub valo chil 🥰🥰🥰🥰🥰🥰🥰 erokom manush khub komi ache 😱😱😱😱
joy,onushthanti poricalna korchen taderke bolchi hedingta diyechen ekta golpo eta golpo noy otiter bastob ba songsarik ovijnta kotha tule dhora hocche ar kon manush ba meyera jen erokom kaj na kore
joy,apu apni mosjid o etimder pora lekhar kichu khoroch diben apnar sami beheshte nochib koren Allah oi vaiyake amin
joy,"onar sbamir jonjo rilo onek binomro shroddha ar valobasa.... emon manush emon dine dekha jai na.... allah‌ take jannat dan korun ar sathe ei apur jibonke aro sohoj o shundor korun, amin...."
joy,apnar vidio gulo ki bolob et hridoy chuye jaoya ar shudhu dekhte ba shuntei mon cai et long tobuo kon birokti ase na.onek kichu jante ar shikhte ar bujhte parlam.osotji vaiya kichu bolar nei osadharon. apni onek val manush. apnar vidio gulo dekhe kichu korar iccha hoy janina parob kina.
joy,amar hasobjando o onek jedi kintu ami o rege gele ami cup thaki.aste aste o onek kul hoye geche alhamdulillah
joy,bon tomar moto sob meyera jen tader samider val base!! tumi dhonjo nari. alla tomar val korun.
joy,kibriya bhai  apni ekjon bastob uponjasik jara apnar kache ache apni tader valo updesh diben jate poroborti jibonta sukher hoy amin
joy,"ovimaner nepothje lukiye thake sotjikarer valobasa. kothin bastber ohongkar shesh hole, amder ontratma porisheshe jege othe .valo thakben."
joy,bhai  assalamu alaikum kemon achen bhai  ami sharmin apnar onek vidio dekhi vaiya ami rohima afroja apur nambar ta cai
joy,vidioti osadharon hoyeche like komento ebong beshi apon kore nilam pashe achi pashe thako asha kori tumi amake apon kore nebe dhonjbad
joy,"ki bolbo kichui bujhe uthte parchi na.tobe eishsar ba prithibi ekta natker monco . uporoyala amader protjeke natker ovinoye jevabe rol diye rekhechen thik shei vabei amader protjeke natker ovinoye sutig ba rol kore jete hobe . apnar sge ja hoyeche, tar jonjo apni uporoylaeb apnar ekso hajbendo ke sob somoy sboron korben . dhonjbad m‍jadam ."
joy,"amar mone hoy ami vodro mohilar ontre dekhte pacchi, amar mone hoy uni nijeke sev kore kon kichu bolenni, ami apnake sjalut korchi mjam"
joy,"onusorniy jibon dorshon ! valobasa o antrikta evabe manusher jibne nirmol sukh o anondo boye anuk . opare valo thakben, vaiya 😭😭😭😭🙏🙏🙏"
joy,shobar upre manush sotjo tar upre nai. poribar o manush sbamir ujjol drishtanto sthapon kore gelen vodrlok. val thakun opare.
joy,2 duji val manush or taka diye or namey ekta mosjid baniye din or shanti r ekta bjobosta kore din
joy,tobe amar bari borishal thana ujirpur gram uttor satla bor brijer nicey purbo par amar nam khairul Islam tobe shobai cine rakhen amar piya ekbar hoyeche ar kokhono hobe na etai last
joy,amar ekjon moner manush ache ami takeo ekdin take bujhiye diye jab lamiya aktar mim tar bari borishal tahar vobishjot ami kore debo
joy,ami mone kori ei meyeti tar san sokatre jonjo sobkichu korechen asle meyeti valo moner manush noy
joy,al hamdulillah...priy viuyarso apnader valbasay islamik cjanelti egiye jacche.apnader ekanto saporto o allahor rohomot niye onek dur egiye jabo insha allah🌹🌹🌷
joy,osadharon! ajker dine emon manush birol! ramni apnio otjonto valo manush tai emon manusher sannidhjo peyechen.💐💐💐
joy,"jibner golpo bolar jonjo sahosh dorkar,,, shundor sahsiktar poricoy diye onek sahajjo korlen,,, ajker ei somoy mathay rekhe madam ke onek dhonjbad. valo thakben."
joy,ei golpta shuruta ekorokom holeo sheshta otulniy. dui jaygay dujonei val thakuk ei kamna kori.
joy,ei meyeti aslei ekta lovi meye. kivabe kharaf bolob bolar vasha nai. o nite jane dite janena. or taka sbamir ayotte asbe bole o nije divorso diye dil. o je et ljjahin bolar moto  noy. et paltu ekta meye. kivabe nil tar divorso deoya sbamir taka 2 koti. aslei kibriya bhai  kon ipojit e komento korina. ar ei ta dekhe komentta na diya parinai. sori eta bolar jonjo.
joy,"tar theke odvut golpo ba kahini ami ar shunini, mata ji ke osongokhjo dhonjbad onar jibon kahini shune. apni baki jibon sukhi katan ishbrer nikot prarthna kori ami bjoktigotvabe."
joy,"unake oshesh dhonjbad je uni jibner ghat prtighat sombondhe ujjibit korlen, poribeshok ke o dhonjbad, odhuna bastob ke tule dhorar jonj"
joy,ajker episod ta dekhe shurur dike khub anondo peyechi shesher dike khubi koshto hoyeche motamuti bolte hocche unar amerikan somiti khubi ekjon valo lok chilen Allah take jannatul ferdous nosib koruk apnakeo Allah valo rakhuk doya ebong shuveccha ril
joy,je tomar jonjo etkichu korte parche. se tomake porkaleo bleim korbe na. tumi onek valo moner manush peyechile. iu ar laki oyan.
joy,ei golpo shune khub valo laglo abar koshto holo jani na er por apni abar biye korben kina
joy,"apu tumi onek valo, onar jonjo tahajot namaj pore doya koren,onake jen Allah jannatul ferdous dan kore,ar apni sob somoy porda kore colben,valo takben"
joy,"boyoskra keyaring korte jane,ar iyang sundrira shei keyaring, orther ghatti kono kichu thake na bishesh kore."
joy,valbasar boyosh hoyna. apni gilti fil korchen ken. manush rag kore separeshne thaktei pare. tobe rag sathe sathe vule jaoya ucit. ami 44 bochor age biye korechi. ajo 100% valbasay achi. sutro hol dujon sokol kichute ekomot hoya. amar jibneo 15diner ekta separeshon chil shei prothom jibne. kintu valbasa amaderke abar ekotro korechil. labni apni apnar sbmir upharke eksepto kore nin. ebong daridro durikorne koje lagan. mosjidokre mollader khawar bjabostha korben na. tahole apnar sbmi koshto paben. divorsto apnar sbamir sborthei diyechen erojonjo gilti fil korben na. borong valbasa cirdin fil korun. apnar shami cirdin apnar mone bece thakbe. ami mjanhatan thaki 107e rastay dekha hole cinbo inshaallah
joy,"kibriya bhai  yer moto  manush prithibite ekta na jen hajar hajar manush jonmay karon e bhai  tar jonjo hajar hajar manush upokar paoyar sujog pay tai bhai  ar tar poribar er Allah jen valo rakhen,,,,,"
joy,ekhan theke shikkha pelam amar jibne onek bhul ache ajke theke shudhre nebo Allah tumi amake sudhre neoyar jonjo shokti deo
joy,kibriya bhai  apnake onek dhonjbad amader eto shundor ekta golpo shuna nur jonjo ami apnar sob vidio dekhi
joy,apu apni val thakben doya ril apnar hasbendo er jonjo Allah jen onake beheshot nosib kore amin ar mosjid bananor kotha cinta kore onek val kaj korchen shuv hok apnar agami diner pothocla
joy,assalamu alaikum kibriya bhai  kemon achen apnar sathe ami ektu kotha bolte cai ahuja apur sathe ekti kotha bolte cai
joy,assalamu alaikum kibriya bhai  kemon achen apnar sathe ami ektu kotha bolte cai abudabu sathe amar ekta kotha bole diben
joy,"apu apnar ebong sami dui joni otulniy. ja ekhonkar ebong oneker moddhe nei. osadharon apnader jibon kahini. ja vashay prokash korar sadhjo amar ken, kaharo nei. ami doya kori ebong Allah jotdin amake bece rakhbe inshaallah apnar jonjo ami doya korbo. ebong ef em redio kibriya vai, ami apnar sathe dekha korte cai,, kivabe apnar sathe dekha korbo. amar phone nong 01710161920 pilij bhai  doya kore apnar songge songge amake ekeit korben, shudhu ekbarer jonjo. pilij pilij vai."
joy,bon apnar jonjo valobasa oviram. mon kharap korben na. Allah tayala ja kore valor jonjo kore. amar jibon ta apnar moto amio ek jon prabsi. keno jani apnar sathe kotha bolte mon chaiteche. amar nambar 0097333104952
joy,ar.je kibriya vaiyer jonjo amra shobai doya kori. onek onek valo kaj tini. nobel puroskar cai cai.
joy,"kibriya bhai  ke o ei afu onek dhonjbad ,,tobe amader kichu kichu bepare tara hudo kore siddhanto neoya ucit na minimem tinbar cinta kora valo jodi muslim hi"
joy,asle oni anek valo moner manush chilen ami doya kori Allah tala jeno onake jannater ceshto pakhi baniye dey
joy,ishbor er kache prarthna kori apni jibne prtishthit hon jeta apnar sbamir ekanto icche chilo... onar jonje shroddhay mon vore gel... onar icche moto  apni jodi onar deoya ortho niye jibne valovabe prtishthit hon tahole mone hoy onar atmar shanti hobe... prtishthit hoye taropor jodi apni mosjid bananor kotha cinta koren amar mone hoy setai apnar jogjo somman ar shroddha janano hobe.... khub khub valo thakun sukhi thakun
joy,"dhonjbad bon tumake, nijer bhul bojhar jonjo, erokom ekti onustane eshe nijer bhul sikar je udahoron sthapon korechen tar jonjo apnake ontrer ontostol theke ojosro dhonjbad janai, ebong baki jibon tuku jen kon valo kaje lagate paren shei doya kori, Allah tayala amader taofik dan korun eke onjor prti shroddhashil hoyar jonjo, amin"
joy,dan sobosomoy gupto hoy. ihkal o porloke oapnara sukhi hoben emon doya kori. oamio divorsod.
joy,ei somaje onek tiktar songsar ache ebong divorso hoye jay. kintu shesh belay emon hoy naki ta kokhono dekhi nai ba shuni nai. val theko apu ar vaiyake Allah jannatul ferdaus dan korun.amin....
joy,bhai  apnader sobar kachei onurodh ekta kaj cai ami amar ekta halal kajer khub dorkar je kaj hok ami korbo inshallah.
joy,kache thakte bujhina hariye bujhte pari. moner dik theke manush ti onek boro o valo chilo ei meyer caite.
joy,"sotti i apnar shami ek jon osadharon manush,,, Allah take beheshot dan korun amin,,, ❣️❤️❣️"
joy,apu apnar je upolobdhi ta hoyeche se ta ke sadhu bad kintu onek bilombo hoyeche.
joy,"kibriya, amar valbasa oke pouche diyen. dhonjbad! mohan Allah subhanahu taa&#39;la amar ebong somosto sotjnishtho manushgulor sohay hun! amin!"
